Model Name,Language,Librispeech Dev-Clean,Librispeech Dev-Other,Librispeech Test-Clean,Librispeech Test-Other,MCV Test-Set v8.0 (en),MLS Dev (en),MLS Test (en),NSC Part1,NSC Part6,Peoples Speech Test v1,SLR 83 Test,WSJ Dev 93,WSJ Eval 92
stt_en_conformer_ctc_small,en,3.6,8.1,3.7,8.1,,,,,,,,,
stt_en_conformer_ctc_medium,en,2.5,5.8,2.6,5.9,,,,,,,,,
stt_en_conformer_ctc_large,en,1.9,4.4,2.1,4.5,,,,,,,,,
stt_en_conformer_ctc_xlarge,en,1.77 %,3.79 %,2.00 %,3.74 %,7.88 %,,5.99 %,,6.44 %,22.90 %,5.50 %,2.36 %,
stt_en_conformer_ctc_small_ls,en,3.3,8.8,3.4,8.8,,,,,,,,,
stt_en_conformer_ctc_medium_ls,en,2.7,7.4,3.0,7.3,,,,,,,,,
stt_en_conformer_ctc_large_ls,en,2.4,6.2,2.7,6.0,,,,,,,,,
stt_en_conformer_transducer_small,en,2.8,6.6,2.5,6.6,,,,,,,,,
stt_en_conformer_transducer_medium,en,2.0,4.6,2.1,4.7,,,,,,,,,
stt_en_conformer_transducer_large,en,1.6,3.5,1.7,3.7,,,,,,,,,
stt_en_conformer_transducer_large_ls,en,2.1,5.0,2.3,5.1,,,,,,,,,
stt_en_conformer_transducer_xlarge,en,1.48 %,2.95 %,1.62 %,3.01 %,6.46 %,4.59 %,5.32 %,5.70 %,6.47 %,21.32 %,,2.05 %,1.17 %
stt_en_conformer_transducer_xxlarge,en,1.52 %,3.09 %,1.72 %,3.14 %,,5.29 %,5.85 %,6.64 %,,,,2.42 %,1.49 %
